Regular step WithSlopeup,Regular step WithStrideSlopeup,Regular step WithSpeedSlopeup,Regular step WithSlopedown,Regular step WithStrideSlopedown,Regular step WithSpeedSlopdown,Regular step WithGravel,Regular step WithStrideGravel,Regular step WithSpeedGravel,Regular step WithSidewalk,Regular step WithStrideSidwalk,Regular step WithSpeedSidewalk,Regular step Walking speedslopdown,Regular step Walking speed slopeup,Regular step Walking speed gravel,Regular step Walking speed sidewalk,Acceleration WithSlopeup.1,Acceleration WithAverageZSlopeup,Acceleration WithSlopedown.1,Acceleration WithAverageZSlopedown,Acceleration WithGravel.1,Acceleration WithAverageZGravel,Acceleration WithSidewalk.1,Acceleration WithAverageZSidewalk,Regular step WithoutSlopeup,Regular step WithoutStrideSlopeup,Regular step WithoutSpeedSlopeup,Regular step WithoutSlopedown,Regular step WithoutStrideSlopedown,Regular step WithoutSpeedSlopedown,Regular step WithoutGravel,Regular step WithoutStrideGravel,Regular step WithoutSpeedGravel,Regular step WithoutSidewalk,Regular step WithoutStrideSidewalk,Regular step WithoutSpeedSidewalk,Regular step Withoutwspeed slopup,Regular step withoutspeedslopedown,Regular step withoutwalkspeedgravel,Regular step Withoutwalkspeedsidewalk,Acceleration WithoutSlopeup.1,Acceleration WithoutAverageZSlopeup,Acceleration WithoutSlopedown.1,Acceleration WithoutAverageZSlopedown,Acceleration WithoutGravel.1,Acceleration WithoutAverageZGravel,Acceleration WithoutSidewalk.1,Acceleration WithoutAverageZSidewalk
15:39.1,71.0,104.0,,,,05:23.2,52.0,116.0,11:19.8,41.0,122.0,,1.365384615,0.896551724,0.672131148,15:39.1,0.247855,,,05:23.2,0.206186,11:19.8,0.21294,14:40:38,42.0,104.0,14:54:44,43.0,106.0,14:30:44,48.0,110.0,14:46:32,47.0,112.0,0.807692308,0.811320755,0.872727273,0.839285714,14:40:39,0.205993,05:12:10,0.224719,14:30:45,0.17762,46:32.9,0.202206
15:40.3,67.0,116.0,,,,05:24.4,50.0,118.0,11:21.1,28.0,133.0,,1.155172414,0.847457627,0.421052632,15:40.3,0.223368,,,05:24.4,0.236686,11:21.1,0.209738,14:40:39,41.0,106.0,14:54:45,42.0,108.0,14:30:45,31.0,112.0,14:46:33,41.0,108.0,0.773584906,0.777777778,0.553571429,0.759259259,14:40:40,0.209524,05:09:53,0.220588,14:30:46,0.262172,46:34.0,0.202392
15:41.5,69.0,120.0,,,,05:25.6,53.0,120.0,11:22.2,36.0,108.0,,1.15,0.883333333,0.666666667,15:41.5,0.232945,,,05:25.6,0.216306,11:22.2,0.238971,14:40:40,42.0,104.0,14:54:46,43.0,108.0,14:30:46,28.0,106.0,14:46:34,42.0,108.0,0.807692308,0.796296296,0.528301887,0.777777778,14:40:41,0.220588,05:07:57,0.216802,,,46:35.1,0.216802
15:42.6,70.0,116.0,,,,05:26.8,48.0,116.0,11:27.1,45.0,118.0,,1.206896552,0.827586207,0.762711864,15:42.6,0.223368,,,05:26.8,0.223368,11:27.1,0.202874,14:40:41,41.0,108.0,14:54:47,42.0,106.0,,,,14:46:35,42.0,110.0,0.759259259,0.79245283,0.911313246,0.763636364,14:40:42,0.209724,05:06:32,0.202392,,,46:36.2,0.202206
15:43.8,68.0,120.0,,,,05:27.9,51.0,116.0,11:28.1,31.0,101.0,,1.133333333,0.879310345,0.613861386,15:43.8,0.232945,,,05:27.9,0.223368,11:28.1,0.177866,14:40:42,41.0,104.0,14:54:48,43.0,108.0,,,,14:46:36,42.0,108.0,0.788461538,0.796296296,0.913711392,0.777777778,14:40:43,0.2058,05:14:05,0.224509,,,46:37.3,0.198915
15:45.2,67.0,131.0,,,,05:29.1,51.0,116.0,11:29.5,12.0,141.0,,1.022900763,0.879310345,0.170212766,15:45.2,0.22779,,,05:29.1,0.223368,11:29.5,0.113314,14:40:43,40.0,106.0,14:54:50,43.0,110.0,,,,14:46:37,44.0,110.0,0.754716981,0.781818182,,0.8,14:40:44,0.2058,,,,,46:38.4,0.202206
15:46.3,70.0,116.0,,,,05:30.3,52.0,116.0,,,,,1.206896552,0.896551724,0.787405419,15:46.3,0.24055,,,05:30.3,0.223368,,,14:40:44,40.0,106.0,14:54:51,40.0,108.0,,,,14:46:38,43.0,108.0,0.754716981,0.740740741,,0.796296296,14:40:45,0.213592,,,,,46:39.5,0.220588
15:47.6,74.0,127.0,,,,05:31.4,49.0,116.0,,,,,1.165354331,0.844827586,0.793337556,15:47.6,0.234742,,,05:31.4,0.223368,,,14:40:45,43.0,103.0,,,,,,,14:46:39,40.0,108.0,0.834951456,0.86849384,,0.740740741,14:40:46,0.224509,,,,,46:40.5,0.205993
,,,,,,05:32.6,52.0,114.0,,,,,1.051056338,0.912280702,,,,,,05:32.6,0.20979,,,14:40:46,41.0,106.0,,,,,,,14:46:41,46.0,106.0,0.773584906,0.868514992,,0.867924528,14:40:47,0.2058,,,,,46:41.6,0.2058
,,,,,,05:33.7,52.0,116.0,,,,,1.053246597,0.896551724,,,,,,05:33.7,0.223368,,,14:40:47,40.0,106.0,,,,,,,14:46:42,43.0,106.0,0.754716981,,,0.811320755,14:40:48,0.205993,,,,,46:42.7,0.220791
